data;

set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100;

param x :=
  1   63.94
  2   27.5
  3   73.65
  4   89.22
  5   42.19
  6   21.86
  7   2.65
  8   64.99
  9   22.04
  10   80.94
  11   80.58
  12   34.03
  13   95.72
  14   9.27
  15   84.75
  16   80.71
  17   53.62
  18   37.85
  19   82.94
  20   86.17
  21   70.46
  22   22.79
  23   7.98
  24   10.1
  25   63.57
  26   37.02
  27   26.7
  28   64.8
  29   17.11
  30   16.34
  31   98.95
  32   55.69
  33   84.29
  34   22.9
  35   31.55
  36   21.1
  37   87.64
  38   65.54
  39   91.45
  40   26.49
  41   56.14
  42   58.46
  43   39.94
  44   99.75
  45   9.09
  46   10.96
  47   79.21
  48   6.35
  49   99.61
  50   97.11
  51   1.15
  52   68.17
  53   26.68
  54   11.16
  55   45.37
  56   87.59
  57   50.06
  58   91.26
  59   29.84
  60   60.9
  61   76.25
  62   77.86
  63   0.06
  64   1.95
  65   87.87
  66   30.75
  67   87.8
  68   8.57
  69   6.92
  70   76.58
  71   47.53
  72   26.51
  73   42.31
  74   53.93
  75   20.12
  76   99.51
  77   43.81
  78   12.1
  79   33.81
  80   23.01
  81   7.1
  82   22.89
  83   85.96
  84   23.8
  85   21.42
  86   93.55
  87   47.27
  88   80.75
  89   9.69
  90   42.36
  91   72.91
  92   98.42
  93   40.26
  94   86.17
  95   19.02
  96   42.19
  97   24.98
  98   44.31
  99   55.03
  100   99.93
;
param y :=
  1   2.5
  2   22.32
  3   67.67
  4   8.69
  5   2.98
  6   50.54
  7   19.88
  8   54.49
  9   58.93
  10   0.65
  11   69.81
  12   15.55
  13   33.66
  14   9.67
  15   60.37
  16   72.97
  17   97.31
  18   55.2
  19   61.85
  20   57.74
  21   4.58
  22   28.94
  23   23.28
  24   27.8
  25   36.48
  26   20.95
  27   93.67
  28   60.91
  29   72.91
  30   37.95
  31   64.0
  32   68.46
  33   77.6
  34   3.21
  35   26.77
  36   94.29
  37   31.47
  38   39.56
  39   45.89
  40   24.66
  41   26.27
  42   89.78
  43   21.93
  44   50.95
  45   4.71
  46   62.74
  47   42.22
  48   38.16
  49   52.91
  50   86.08
  51   72.07
  52   53.7
  53   64.1
  54   43.48
  55   95.38
  56   26.34
  57   17.87
  58   87.05
  59   63.89
  60   15.28
  61   53.94
  62   53.04
  63   32.42
  64   92.91
  65   83.17
  66   5.79
  67   94.69
  68   48.6
  69   76.06
  70   12.84
  71   54.98
  72   87.24
  73   21.18
  74   72.99
  75   31.17
  76   64.99
  77   51.76
  78   22.47
  79   58.83
  80   22.02
  81   63.11
  82   90.54
  83   7.09
  84   66.9
  85   13.23
  86   57.1
  87   78.46
  88   19.04
  89   43.11
  90   46.7
  91   67.34
  92   9.84
  93   33.93
  94   24.87
  95   44.86
  96   27.85
  97   92.33
  98   86.13
  99   5.06
  100   83.6
;

param x0 := 49.61;
param y0 := 47.23;

param K := 2;

param alpha := 2.791;
param beta  := 0.2669;

end;
