data;

set V := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
param depot := 0;

param x :=
  0   56.73
  1   63.94
  2   27.5
  3   73.65
  4   89.22
  5   42.19
  6   21.86
  7   2.65
  8   64.99
  9   22.04
  10   80.94
  11   80.58
  12   34.03
  13   95.72
  14   9.27
  15   84.75
  16   80.71
  17   53.62
  18   37.85
  19   82.94
  20   86.17
;
param y :=
  0   41.14
  1   2.5
  2   22.32
  3   67.67
  4   8.69
  5   2.98
  6   50.54
  7   19.88
  8   54.49
  9   58.93
  10   0.65
  11   69.81
  12   15.55
  13   33.66
  14   9.67
  15   60.37
  16   72.97
  17   97.31
  18   55.2
  19   61.85
  20   57.74
;

param K := 2;
param Q := 10;

param d :=
  1   1
  2   1
  3   1
  4   1
  5   1
  6   1
  7   1
  8   1
  9   1
  10   1
  11   1
  12   1
  13   1
  14   1
  15   1
  16   1
  17   1
  18   1
  19   1
  20   1
;
end;
